x,y
2,2.958039891549808
3,2.41522945769824
4,2.091650066335189
5,1.8708286933869707
6,1.707825127659933
7,1.5811388300841898
8,1.479019945774904
9,1.3944333775567925
10,1.3228756555322954
11,1.2613124477737825
12,1.20761472884912
13,1.1602387022306428
14,1.118033988749895
15,1.0801234497346435
16,1.0458250331675945
17,1.0145993123917847
18,0.9860132971832694
19,0.9597148699373931
20,0.9354143466934853
21,0.9128709291752769
22,0.8918825850158447
23,0.872278375988647
24,0.8539125638299665
25,0.8366600265340756
26,0.820412654142367
27,0.8050764858994133
28,0.7905694150420949
29,0.7768193328323317
30,0.7637626158259734
31,0.7513428837969107
32,0.739509972887452
33,0.7282190812544191
34,0.7174300539794393
35,0.7071067811865476
36,0.6972166887783963
37,0.6877303054053769
38,0.6786208925382962
39,0.6698641270570836
40,0.6614378277661477
